#TAG,NAME (or Git URL),DESCRIPTION,PKG_DEBIAN,PKG_ARCH,PKG_ARTIX,PKG_UBUNTU,PKG_ROCKY
,noto-fonts,"is a fonts package.",fonts-noto,,fonts-noto,skip,google-noto-fonts-common
,mate-menus-preferences-category-menu,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-notification-daemon,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-panel,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-polkit,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-power-manager,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-screensaver,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-screenshot,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-search-tool,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-session-manager,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-settings-daemon,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-system-log,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-system-monitor,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-terminal,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-themes,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-user-admin,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mate-user-guide,"is a package for Rocky Mate.",skip,skip,skip,skip,
,mozo,"is a package for Rocky Mate.",skip,skip,skip,skip,
,network-manager-applet,"is a package for Rocky Mate.",skip,skip,skip,skip,
,nm-connection-editor,"is a package for Rocky Mate.",skip,skip,skip,skip,
,p7zip,"is a package for Rocky Mate.",skip,skip,skip,skip,
,p7zip-plugins,"is a package for Rocky Mate.",skip,skip,skip,skip,
,pluma,"is a package for Rocky Mate.",skip,skip,skip,skip,
,seahorse,"is a package for Rocky Mate.",skip,skip,skip,skip,
,seahorse-caja,"is a package for Rocky Mate.",skip,skip,skip,skip,
,xdg-user-dirs-gtk,"is a package for Rocky Mate.",skip,skip,skip,skip,
,lightdm,"is a package for Rocky Mate.",skip,skip,skip,skip,
,lightdm-settings,"is a package for Rocky Mate.",skip,skip,skip,skip,
